Prophecy,>Years before the Jesus' birth ,Category,Source,Target,Count of Size
A child to be born,500,Birth,Isaiah,Luke,1
"A King known for righteousness, anointed",800,Titles and Attributes,Psalms,Hebrews,1
A new everlasting covenant,500,Life and Ministry,Jeremiah,Hebrews,2
A new everlasting covenant,500,Life and Ministry,Jeremiah,Matthew,1
A new everlasting covenant,500,Life and Ministry,Jeremiah,Luke,1
A new everlasting covenant,500,Life and Ministry,Jeremiah,Mark,1
A new everlasting covenant,500,Life and Ministry,Jeremiah,1 Corinthians,1
A new priesthood established,500,Life and Ministry,Zechariah,Revelation,2
A new priesthood established,500,Life and Ministry,Zechariah,1 Peter,1
A Priest according to the order of Melchizedek,800,Titles and Attributes,Psalms,Hebrews,4
A Prophet like Moses,1200,Titles and Attributes,Deuteronomy,Acts,1
A Prophet like Moses,1200,Titles and Attributes,Deuteronomy,Hebrews,1
A Prophet like Moses,1200,Titles and Attributes,Deuteronomy,John,2
"A stone of stumbling, a rock of offense",500,Titles and Attributes,Isaiah,Matthew,1
"A stone of stumbling, a rock of offense",500,Titles and Attributes,Isaiah,Romans,1
"A stone of stumbling, a rock of offense",500,Titles and Attributes,Isaiah,1 Peter,1
All nations shall be blessed through Abraham,1200,Birth,Genesis,Acts,1
All nations shall be blessed through Abraham,1200,Birth,Genesis,Galatians,3
All nations shall be blessed through Abraham,1200,Birth,Genesis,Matthew,1
Anointed by God,800,Life and Ministry,Psalms,Hebrews,1
Anointed to preach liberty to the captives,500,Life and Ministry,Isaiah,Acts,1
Anointed to preach liberty to the captives,500,Life and Ministry,Isaiah,Luke,1
Another to succeed Judas,800,Death and Resurrection,Psalms,Acts,1
Ascend on high,800,Death and Resurrection,Psalms,Acts,1
Ascend on high,800,Death and Resurrection,Psalms,Luke,1
Ascend on high,800,Death and Resurrection,Psalms,Ephesians,1
"Be ""cut off"" at a specific time after Jerusalem wall is rebuilt, before the temple is destroyed",500,Death and Resurrection,Zechariah,Matthew,2
"Be ""cut off"" at a specific time after Jerusalem wall is rebuilt, before the temple is destroyed",500,Death and Resurrection,Zechariah,Luke,1
"Be ""cut off"" at a specific time after Jerusalem wall is rebuilt, before the temple is destroyed",500,Death and Resurrection,Zechariah,John,1
"Be ""cut off"" at a specific time after Jerusalem wall is rebuilt, before the temple is destroyed",500,Death and Resurrection,Daniel,Matthew,1
"Be a ""stone of stumbling"" to the Jews",500,Life and Ministry,Isaiah,Romans,1
"Be a ""stone of stumbling"" to the Jews",500,Life and Ministry,Isaiah,1 Peter,1
