Prophecy,>Years before the Jesus' birth ,Text,Testament,Category,Source
Be of the offspring of the woman; shall bruise the serpent's head,1200,Genesis 3:14-15,Old,Birth,Genesis
All nations shall be blessed through Abraham,1200,Genesis 18:17-18,Old,Birth,Genesis
All nations shall be blessed through Abraham,1200,Genesis 12:3,Old,Birth,Genesis
All nations shall be blessed through Abraham,1200,Genesis 22:18,Old,Birth,Genesis
All nations shall be blessed through Abraham,1200,Genesis 26:4,Old,Birth,Genesis
All nations shall be blessed through Abraham,1200,Genesis 28:14,Old,Birth,Genesis
Be of the tribe of Judah,1200,Genesis 49:8-10,Old,Birth,Genesis
Be of the tribe of Judah,500,Micah 5:2,Old,Birth,Micah
Be born in the town of Bethlehem of Judea (Judah),500,Micah 5:2-5,Old,Birth,Micah
Be born a king of the line of David,500,Isaiah 9:7,Old,Birth,Isaiah
Be born a king of the line of David,800,2 Samuel 7:12-13,Old,Birth,2 Samuel
Be born a king of the line of David,500,Jeremiah 23:5,Old,Birth,Jeremiah
Be born a king of the line of David,500,Jeremiah 30:9,Old,Birth,Jeremiah
A child to be born,500,Isaiah 9:6,Old,Birth,Isaiah
Be born of a virgin,500,Isaiah 7:13-14 ,Old,Birth,Isaiah
"Kings shall bring him gifts, fall down before him",800,Psalm 72:10-11,Old,Birth,Psalms
Be born of the seed of Abraham,1200,Genesis 17:7-8,Old,Birth,Genesis
Be born of the seed of Abraham,1200,Genesis 26:3-4,Old,Birth,Genesis
Be born of the seed of Isaac,1200,Genesis 17:19,Old,Birth,Genesis
Be born of the seed of Isaac,1200,Genesis 21:12,Old,Birth,Genesis
Be born of the seed of Isaac,1200,Genesis 26:2-4,Old,Birth,Genesis
Be of the seed of Jacob; a star out of Jacob,1200,Genesis 28:13-14,Old,Birth,Genesis
Be of the seed of Jacob; a star out of Jacob,1200,"Numbers 24:17, 19",Old,Birth,Numbers
"Be a firstborn son, sanctified",1200,Exodus 13:2,Old,Birth,Exodus
"Be a firstborn son, sanctified",1200,Numbers 3:13,Old,Birth,Numbers
"Be a firstborn son, sanctified",1200,Numbers 8:17,Old,Birth,Numbers
Be a rod out of the stem of Jesse,500,Isaiah 11:1-2,Old,Birth,Isaiah
Massacre of children,500,Jeremiah 31:15,Old,Birth,Jeremiah
Have eternal existence,500,Micah 5:2,Old,Birth,Micah
Be called out of Egypt,500,Hosea 11:1,Old,Life and Ministry,Hosea
Be rejected by his brothers,800,Psalm 69:8,Old,Life and Ministry,Psalms
Rulers take council against him,800,Psalm 2:1-2,Old,Life and Ministry,Psalms
Be rejected as capstone,800,Psalm 118:22-23,Old,Life and Ministry,Psalms
Was to enter the temple,500,Malachi 3:1,Old,Life and Ministry,Malachi
Was to enter the temple,500,"Haggai 2:7,9",Old,Life and Ministry,Haggai
Call those who were not his people,500,Isaiah 55:4-5,Old,Life and Ministry,Isaiah
Call those who were not his people,500,Hosea 2:23,Old,Life and Ministry,Hosea
The King comes to Jerusalem riding on a donkey,500,Zechariah 9:9,Old,Life and Ministry,Zechariah
"Be a ""stone of stumbling"" to the Jews",500,Isaiah 8:14,Old,Life and Ministry,Isaiah
"Upon his coming, the deaf hear and the blind see",500,Isaiah 29:18,Old,Life and Ministry,Isaiah
"Upon his coming, the deaf hear and the blind see",500,Isaiah 35:5,Old,Life and Ministry,Isaiah
Fulfill promises to Jews and be a light to the Gentiles,500,Isaiah 42:6,Old,Life and Ministry,Isaiah
Fulfill promises to Jews and be a light to the Gentiles,500,Isaiah 49:6,Old,Life and Ministry,Isaiah
A new everlasting covenant,500,Jeremiah 31:31-34,Old,Life and Ministry,Jeremiah
A new everlasting covenant,500,Jeremiah 32:37-40,Old,Life and Ministry,Jeremiah
A new everlasting covenant,500,Jeremiah 50:5,Old,Life and Ministry,Jeremiah
"Be a prophet like Moses, speaking God´s words",1200,Deuteronomy 18:15,Old,Life and Ministry,Deuteronomy
"Be a prophet like Moses, speaking God´s words",1200,Deuteronomy 18:18-19,Old,Life and Ministry,Deuteronomy
Be hated without reason,800,Psalm 35:19,Old,Life and Ministry,Psalms
Be hated without reason,800,Psalm 69:4,Old,Life and Ministry,Psalms
Come to do the will of God,800,Psalm 40:7-8,Old,Life and Ministry,Psalms
Anointed by God,800,Psalm 45:6-7,Old,Life and Ministry,Psalms
Have great zeal for God's house,800,Psalm 69:9,Old,Life and Ministry,Psalms
